Nome;Classe;Codgio;TipodeAtivo;PaisSede;Status;SetorEconomatica;SetorNAICS
BR Pharma;ON;BPHA3;Acao;BR;ativo;Comercio;Loja de artigos para saude e cuidados pessoais
Brasperola;PNA;BPLA5;Acao;BR;cancelado;Textil;Tecelagens
Petrobras Distrib;PN;BRDT4;Acao;BR;cancelado;Petroleo e Gas;Comercio atacadista de petroleo e produtos de petroleo
BRF SA;ON;BRFS3;Acao;BR;ativo;Alimentos e Beb;Abatedouros
Braskem;ON;BRKM3;Acao;BR;ativo;Quimica;Industria quimica
Braskem;PNA;BRKM5;Acao;BR;ativo;Quimica;Industria quimica
Braskem;PNB;BRKM6;Acao;BR;ativo;Quimica;Industria quimica
Brasil T Par;ON;BRTP3;Acao;BR;cancelado;Telecomunicacoes;Telecomunicacoes
Brasil T Par;PN;BRTP4;Acao;BR;cancelado;Telecomunicacoes;Telecomunicacoes
Brumadinho;PN;BRUM4;Acao;BR;cancelado;Mineracao;Extracao de minerais nao metalicos
Biosev;ON;BSEV3;Acao;BR;ativo;Agro e Pesca;Agricultura
Bahia Sul;PNA;BSUL5;Acao;BR;cancelado;Papel e Celulose;Industria de papel , celulose e papelao
Beta;PNA;BTAS5;Acao;BR;cancelado;Eletroeletronicos;Industria de equipamentos de navegacao, medicao, controle e eletromedicos
B2W Digital;ON;BTOW3;Acao;BR;ativo;Comercio;Vendas por correio ou meio eletronico
Battistella;ON;BTTL3;Acao;BR;ativo;Comercio;Concessionarias de outros veiculos motorizados
Battistella;PN;BTTL4;Acao;BR;ativo;Comercio;Concessionarias de outros veiculos motorizados
Buettner;ON;BUET3;Acao;BR;ativo;Textil;Industria de roupas de tecido
Buettner;PN;BUET4;Acao;BR;ativo;Textil;Industria de roupas de tecido
Casa Anglo;PN;CABR4;Acao;BR;cancelado;Comercio;Loja de departamentos
Caf Brasilia;ON;CAFE3;Acao;BR;ativo;Alimentos e Beb;Moinho de graos
Caf Brasilia;PN;CAFE4;Acao;BR;ativo;Alimentos e Beb;Moinho de graos
Dommo Empr;ON;CALA3B;Acao;BR;cancelado;-;-
Dommo Empr;PN;CALA4B;Acao;BR;cancelado;-;-
Const A Lind;ON;CALI3;Acao;BR;ativo;Construcao;Construcao de edificios residenciais
Const A Lind;PN;CALI4;Acao;BR;ativo;Construcao;Construcao de edificios residenciais
Cambuci;ON;CAMB3;Acao;BR;ativo;Textil;Industria de calcados
Cambuci;PN;CAMB4;Acao;BR;ativo;Textil;Industria de calcados
Nitrocarbono;PNA;CARB5;Acao;BR;cancelado;Quimica;Industria quimica
Ind Cataguas;ON;CATA3;Acao;BR;ativo;Textil;Tecelagens
Ind Cataguas;PN;CATA4;Acao;BR;ativo;Textil;Tecelagens
Ampla Energ;ON;CBEE3;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Cobrasma;ON;CBMA3;Acao;BR;ativo;Veiculos e pecas;Industria de equipamento ferroviario
Cobrasma;PN;CBMA4;Acao;BR;ativo;Veiculos e pecas;Industria de equipamento ferroviario
Cbv Ind Mec;PN;CBVI4;Acao;BR;cancelado;Maquinas Indust;Industria de maquinas agricolas, de construcao e mineracao
Chiarelli;ON;CCHI3;Acao;BR;ativo;Minerais nao Met;Industria de produtos de ceramica e refratarios
Chiarelli;PN;CCHI4;Acao;BR;ativo;Minerais nao Met;Industria de produtos de ceramica e refratarios
CC Des Imob;ON;CCIM3;Acao;BR;cancelado;Construcao;Construcao de edificios residenciais
CCR SA;ON;CCRO3;Acao;BR;ativo;Transporte Servic;Atividades auxiliares ao transporte rodoviario
CBC Cartucho;ON;CCTU3;Acao;BR;cancelado;Siderur & Metalur;Outras industrias de produtos de metal
CBC Cartucho;PN;CCTU4;Acao;BR;cancelado;Siderur & Metalur;Outras industrias de produtos de metal
Ccx Carvao;ON;CCXC3;Acao;BR;ativo;Mineracao;Mineracao de metais
Cach Dourada;PN;CDOU4;Acao;BR;cancelado;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Ceb;ON;CEBR3;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Ceb;PNA;CEBR5;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Ceb;PNB;CEBR6;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Cedro;ON;CEDO3;Acao;BR;ativo;Textil;Tecelagens
Cedro;PN;CEDO4;Acao;BR;ativo;Textil;Tecelagens
Cedro;PNB;CEDO6;Acao;BR;cancelado;Textil;Tecelagens
Coelba;ON;CEEB3;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Coelba;PNA;CEEB5;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Coelba;PNB;CEEB6;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Ceee-D;ON;CEED3;Acao;BR;ativo;Energia Eletrica;Empresa de eletricidade, gas e agua
Ceee-D;PN;CEED4;Acao;BR;ativo;Energia Eletrica;Empresa de eletricidade, gas e agua
Ceg;ON;CEGR3;Acao;BR;ativo;Petroleo e Gas;Distribuicao de gas natural
Celpa;ON;CELP3;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Celpa;PNA;CELP5;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Celpa;PNB;CELP6;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Celpa;PNC;CELP7;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Celpe;ON;CEPE3;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Celpe;PNA;CEPE5;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Celpe;PNB;CEPE6;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Cesp;ON;CESP3;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Cesp;PNA;CESP5;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Cesp;PNB;CESP6;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Ceterp;ON;CETE3;Acao;BR;cancelado;Telecomunicacoes;Telecomunicacoes
Ceterp;PN;CETE4;Acao;BR;cancelado;Telecomunicacoes;Telecomunicacoes
Bunge Alimentos;ON;CEVA3;Acao;BR;cancelado;Alimentos e Beb;Moinho de graos
Bunge Alimentos;PN;CEVA4;Acao;BR;cancelado;Alimentos e Beb;Moinho de graos
Fluminense Refriger;ON;CFLU3;Acao;BR;cancelado;Alimentos e Beb;Industria de bebidas
Fluminense Refriger;PN;CFLU4;Acao;BR;cancelado;Alimentos e Beb;Industria de bebidas
Comgas;ON;CGAS3;Acao;BR;ativo;Petroleo e Gas;Distribuicao de gas natural
Comgas;PNA;CGAS5;Acao;BR;ativo;Petroleo e Gas;Distribuicao de gas natural
Celg;ON;CGOS3;Acao;BR;cancelado;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Celg;PN;CGOS4;Acao;BR;cancelado;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
